Sanguine,description,This temperament is associated with extroverts, talkative characters, and optimists. These characters have appealing personalities and are the life of any party. They have good senses of humor and are usually gifted at Storytelling. Sanguine characters are enthusiastic, expressive, and emotional. Wide-eyed, innocent, and curious, these characters live in the present and are always sincere at heart. Sanguine characters manage to find the humor in disasters, are always cheery, and are liked by others. Creative and colorful, these characters look great on the surface and have energy and enthusiasm in all that they do. Thriving on compliments, sanguine characters make friends easily and love others. These characters seek to prevent dull moments by providing excitement, and they never hold grudges. Sanguine characters are compulsive talkers with loud voices. Remembering names is difficult for these characters, and they are prone to complaining. It is possible these characters appear too happy to others and, seeming fake, scare them away. Driven by their inner child, sanguine characters are naïve and easily get angry. Sanguine characters are disorganized and would rather talk than act. Further, they often forget obligations, have fading confidence, and are undisciplined. Many decisions are based upon feelings. Hating to be alone and needing attention, these characters seek center stage by dominating conversations and energetically interrupting others. These characters often make excuses and have a tendency to repeat stories.
Choleric,weakness,May be rude
Choleric,weakness,Manipulates others
Choleric,weakness,Demanding of others
Choleric,weakness,Workaholic
Choleric,weakness,Can do everything better
Choleric,weakness,Knows everything
Choleric,weakness,Decides for others
Choleric,weakness,Possessive
Choleric,weakness,Cannot say 'I'm sorry'
Choleric,weakness,Might be right but unpopular

Melancholic,description,This temperament is associated with the introvert, thinker, and pessimist. Melancholic characters tend to be deep, thoughtful, and analytical. They are serious, purposeful, and prone to genius. Often, they are talented and creative, with an artistic or musical inclination. Melancholic characters may be philosophical, poetic, and appreciate beauty. Sensitive to others, they may be self-sacrificing, conscientious, or idealistic. This temperament causes characters to set high standards and want everything done right. Their homes are orderly, and otherwise they are persistent, thorough, orderly, organized, and always neat and tidy. This powerful drive is often characterized negatively by others, but melancholic characters often solve problems and surprise others with creativity. Melancholic characters need to finish what they start. Socially, this temperament causes characters to make friends cautiously and stay in the background to avoid attention. These characters are faithful, devoted, and listen well to complaints. Unfortunately, they can be moody and depressed, often remembering or emphasizing the negative. Further, they are self-centered, often in another world, and may have a low opinion of themselves. Melancholic characters are not people-oriented, and prefer to deal with things rather than people. Also, these characters prefer analysis to work. Having a deep need for approval, these characters are hard to please and often set standards too high. Often withdrawn and remote, melancholic characters are critical of others and withhold affection. In characters, this temperament can cause them to be antagonistic and vengeful because they are suspicious of others and dislike those in opposition. This temperament causes characters to be unforgiving and skeptical of compliments.
Melancholic,strength,Thoughtful
Melancholic,strength,Analytical
Melancholic,strength,Serious and purposeful
Melancholic,strength,Prone to genius
Melancholic,strength,Talented and creative
Melancholic,strength,Artistic or musical
Melancholic,strength,Philosophical or poetic
Melancholic,strength,Appreciates beauty
Melancholic,strength,Sensitive to others
Melancholic,strength,Self-sacrificing
Melancholic,strength,Conscientious
Melancholic,strength,Idealistic
Melancholic,strength,Perfectionist
Melancholic,strength,Schedule-oriented
Melancholic,strength,Conscious of details
Melancholic,strength,Persistent
Melancholic,strength,Orderly and organized
Melancholic,strength,Economical
Melancholic,strength,Sees the problems
Melancholic,strength,Finds creative solutions
Melancholic,strength,Avoids causing attention
Melancholic,strength,Faithful and devoted
Melancholic,strength,Compassionate
Melancholic,weakness,Moody / depressed
Melancholic,weakness,False humility
Melancholic,weakness,Off in another world
Melancholic,weakness,Remembers negatives
Melancholic,weakness,Low self-image
Melancholic,weakness,Selective hearing
Melancholic,weakness,Too introspective
Melancholic,weakness,Guilty feelings
Melancholic,weakness,Persecution complex
Melancholic,weakness,Bothered by imperfection
Melancholic,weakness,Hesitant to start projects
Melancholic,weakness,Plans too much
Melancholic,weakness,Prefers analysis to work
Melancholic,weakness,Hard to please
Melancholic,weakness,Standards too high
Melancholic,weakness,Deep need for approval
Melancholic,weakness,Socially insecure
Melancholic,weakness,Critical of others
Melancholic,weakness,Antagonistic
Melancholic,weakness,Unforgiving
Melancholic,weakness,Skeptical of compliments

Phlegmatic,description,This temperament is associated with introverts, watchers, and pessimists. Having low-key personalities, phlegmatic characters are relaxed, calm, cool, and easy-going. Their lives are balanced and consistent. They are quiet but witty, sympathetic, and kind. Good parents, phlegmatic characters are able to take the bad with the good, keep their emotions hidden, and are never in a hurry. Phlegmatic characters are competent, steady, agreeable, and good under pressure, though they often seek the easiest way to get things done. These characters are easy to get along with, pleasant, and inoffensive. However, since they are unenthusiastic, they may be feared or others may worry about them, especially since they are indecisive and avoid responsibility. This temperament causes characters to be too shy, compromising, and self-righteous. Phlegmatic characters are lax on discipline, lack motivation, and are not goal-oriented. They can be lazy, careless, and discouraging to others. These characters would rather watch than become involved. While they watch, however, they are judgmental, sarcastic, and resistant to change.
Phlegmatic,strength,Low key
Phlegmatic,strength,Easy going
Phlegmatic,strength,Relaxed
Phlegmatic,strength,Cool calm and collected
Phlegmatic,strength,Patient
Phlegmatic,strength,Quiet, but witty
Phlegmatic,strength,Keeps emotions hidden
Phlegmatic,strength,Good parent
Phlegmatic,strength,Not in a hurry
Phlegmatic,strength,Can take the good with the bad
Phlegmatic,strength,Doesn’t get upset
Phlegmatic,strength,Competent and steady
Phlegmatic,strength,Peaceful and agreeable
Phlegmatic,strength,Mediated problems
Phlegmatic,strength,Avoids conflicts
Phlegmatic,strength,Good under pressure
Phlegmatic,strength,Finds the easy way
Phlegmatic,strength,Good listener
Phlegmatic,strength,Has many friends
Phlegmatic,strength,Inoffensive
Phlegmatic,strength,Dry sense of humor
Phlegmatic,strength,Compassion and concern
Phlegmatic,weakness,Unenthusiastic
Phlegmatic,weakness,Fearful
Phlegmatic,weakness,Worried
Phlegmatic,weakness,Indecisive
Phlegmatic,weakness,Avoids responsibilities
Phlegmatic,weakness,Selfish
Phlegmatic,weakness,Too shy
Phlegmatic,weakness,Too compromising
Phlegmatic,weakness,Self-righteous
Phlegmatic,weakness,Lacks self-motivation
Phlegmatic,weakness,Hard to get moving
Phlegmatic,weakness,Resents being pushed
Phlegmatic,weakness,Lazy and careless
Phlegmatic,weakness,Discourages others
Phlegmatic,weakness,Would rather watch
Phlegmatic,weakness,Dampens enthusiasm
Phlegmatic,weakness,Stays uninvolved
Phlegmatic,weakness,Indifferent to plans
Phlegmatic,weakness,Judges others
Phlegmatic,weakness,Sarcastic and teasing
Phlegmatic,weakness,Resists change
